1.  To:: x=3.75, y=5.21
9.  Date:: x=21.44, y=5.21
2.  Project Name:: x=3.75, y=6.25
10.  Cert. Num.:: x=21.45, y=6.25
3.  Contractor:: x=3.75, y=7.24
11.  Work Performed up to:: x=21.45, y=7.24
4.  Project Num.:: x=3.75, y=8.18
12.  Contract Beginning Date:: x=19.41, y=8.18
5.  Federal Num.:: x=3.75, y=8.93
13.  Contract Completion Date:: x=19.40, y=8.93
6.  Oracle Num.:: x=3.75, y=9.68
14.  Revised Completion Date : x=19.40, y=9.68
7.  Contract Num.:: x=3.75, y=10.43
15.  Project Original Amount:: x=19.40, y=10.43
8.  Municipality:: x=3.75, y=11.18
16.  Project Revised Amount:: x=19.39, y=11.18
17: x=4.40, y=12.82
18: x=6.21, y=12.82
19: x=8.20, y=12.82
20: x=10.69, y=12.82
21: x=14.93, y=12.82
22: x=22.07, y=12.82
23: x=25.00, y=12.82
24: x=28.57, y=12.82
25: x=31.97, y=12.82
Item No.: x=3.84, y=13.93
Alt: x=6.14, y=13.93
Spec. Code: x=7.45, y=13.93
% Federal : x=10.04, y=13.65
Participation: x=9.77, y=14.20
Unit: x=21.89, y=13.93
Quantity: x=24.42, y=13.93
Unit Price: x=27.89, y=13.93
Amount: x=31.42, y=13.93
-: x=33.26, y=15.21
$                             : x=30.54, y=15.21
-: x=33.26, y=15.96
$                             : x=30.54, y=15.96
-: x=33.26, y=16.71
$                             : x=30.54, y=16.71
-: x=33.26, y=17.46
$                             : x=30.54, y=17.46
-: x=33.26, y=18.21
$                             : x=30.54, y=18.21
-: x=33.26, y=18.96
$                             : x=30.54, y=18.96
-: x=33.26, y=19.84
$                             : x=30.54, y=19.84
-: x=33.26, y=20.66
$                             : x=30.54, y=20.66
-: x=33.26, y=21.73
$                             : x=30.54, y=21.73
-: x=33.26, y=22.75
$                             : x=30.54, y=22.75
-: x=33.26, y=23.77
$                             : x=30.54, y=23.77
26.  Work Performed (WP):: x=23.23, y=28.90
39.Prepared by:: x=3.75, y=29.85
27.  5% Retained (WP):: x=23.23, y=29.85
-: x=33.26, y=29.85
$                             : x=30.49, y=29.85
Contractor: x=9.57, y=30.41
